scheme,task,fold,features,stratum,n,pos_rate,auroc
random,pw,0,dinov2,all,37164,0.5724087826929286,0.9188048159599045
random,pw,0,dinov2,urban,16466,0.8365115996599053,0.9075398127186242
random,pw,0,dinov2,rural,20177,0.34802002279823563,0.8678736297206118
random,pw,0,urbrur,all,37164,0.5724087826929286,0.7498714972717748
random,pw,0,urbrur,urban,16466,0.8365115996599053,0.5
random,pw,0,urbrur,rural,20177,0.34802002279823563,0.5
random,pw,1,dinov2,all,37656,0.5673199490121096,0.9167351196525152
random,pw,1,dinov2,urban,16547,0.8299389617453314,0.8873253051094094
random,pw,1,dinov2,rural,20417,0.3414801390997698,0.8677779171725951
random,pw,1,urbrur,all,37656,0.5673199490121096,0.7514102866508664
random,pw,1,urbrur,urban,16547,0.8299389617453314,0.5
random,pw,1,urbrur,rural,20417,0.3414801390997698,0.5
random,pw,2,dinov2,all,37071,0.5512395133662431,0.9139246970481474
random,pw,2,dinov2,urban,16128,0.8309151785714286,0.8972794612993624
random,pw,2,dinov2,rural,20418,0.32055049466157315,0.8529335717432782
random,pw,2,urbrur,all,37071,0.5512395133662431,0.7580670165426381
random,pw,2,urbrur,urban,16128,0.8309151785714286,0.5
random,pw,2,urbrur,rural,20418,0.32055049466157315,0.5
random,pw,3,dinov2,all,37289,0.5550966773042989,0.9101298510954148
random,pw,3,dinov2,urban,16038,0.8305898491083676,0.8654931510948327
random,pw,3,dinov2,rural,20802,0.33400634554369774,0.8614903435357079
random,pw,3,urbrur,all,37289,0.5550966773042989,0.7510390790049319
random,pw,3,urbrur,urban,16038,0.8305898491083676,0.5
random,pw,3,urbrur,rural,20802,0.33400634554369774,0.5
random,pw,4,dinov2,all,37472,0.5595644748078565,0.9031445953906541
random,pw,4,dinov2,urban,15994,0.8251844441665624,0.8634864908867927
random,pw,4,dinov2,rural,20940,0.34651384909264565,0.8503386718310636
random,pw,4,urbrur,all,37472,0.5595644748078565,0.743159405195702
random,pw,4,urbrur,urban,15994,0.8251844441665624,0.5
random,pw,4,urbrur,rural,20940,0.34651384909264565,0.5
spatial,pw,0,dinov2,all,36580,0.5875888463641334,0.8721133847032974
spatial,pw,0,dinov2,urban,16490,0.8820497271073378,0.8012331908508388
spatial,pw,0,dinov2,rural,19820,0.3381432896064581,0.7850618680135395
spatial,pw,0,urbrur,all,36580,0.5875888463641334,0.7790949334112104
spatial,pw,0,urbrur,urban,16490,0.8820497271073378,0.5
spatial,pw,0,urbrur,rural,19820,0.3381432896064581,0.5
spatial,pw,1,dinov2,all,35168,0.5247952684258417,0.847847763381392
spatial,pw,1,dinov2,urban,15190,0.8018433179723502,0.7330611153844055
spatial,pw,1,dinov2,rural,19664,0.30461757526444266,0.7841197105116201
spatial,pw,1,urbrur,all,35168,0.5247952684258417,0.7476720472460551
spatial,pw,1,urbrur,urban,15190,0.8018433179723502,0.5
spatial,pw,1,urbrur,rural,19664,0.30461757526444266,0.5
spatial,pw,2,dinov2,all,38255,0.5582015422820547,0.8684702301709889
spatial,pw,2,dinov2,urban,16473,0.8358526072967887,0.7919779677227079
spatial,pw,2,dinov2,rural,20750,0.31865060240963855,0.7764184740391082
spatial,pw,2,urbrur,all,38255,0.5582015422820547,0.7659600412690408
spatial,pw,2,urbrur,urban,16473,0.8358526072967887,0.5
spatial,pw,2,urbrur,rural,20750,0.31865060240963855,0.5
spatial,pw,3,dinov2,all,39295,0.5822369258175341,0.8682527976126119
spatial,pw,3,dinov2,urban,15745,0.8367735789139409,0.7853865430193666
spatial,pw,3,dinov2,rural,23049,0.4002776693132023,0.8274936302152986
spatial,pw,3,urbrur,all,39295,0.5822369258175341,0.7206282306688965
spatial,pw,3,urbrur,urban,15745,0.8367735789139409,0.5
spatial,pw,3,urbrur,rural,23049,0.4002776693132023,0.5
spatial,pw,4,dinov2,all,37354,0.550275740215238,0.8720986319728146
spatial,pw,4,dinov2,urban,17275,0.796410998552822,0.8224677963363876
spatial,pw,4,dinov2,rural,19471,0.31908992861178165,0.8009474195549615
spatial,pw,4,urbrur,all,37354,0.550275740215238,0.7459716829642404
spatial,pw,4,urbrur,urban,17275,0.796410998552822,0.5
spatial,pw,4,urbrur,rural,19471,0.31908992861178165,0.5
random,sw,0,dinov2,all,37164,0.32582606823807986,0.9346842298335188
random,sw,0,dinov2,urban,16466,0.5961982266488521,0.8984435855965646
random,sw,0,dinov2,rural,20177,0.10155127124944244,0.8960312507942004
random,sw,0,urbrur,all,37164,0.32582606823807986,0.7789925851292983
random,sw,0,urbrur,urban,16466,0.5961982266488521,0.5
