task,country,lga,burden,burden_raw_uncalibrated,ci_lo,ci_hi,population
pw,Nigeria,Alimosho,1186636.7803587401,1155335.2401740353,870473.4620299211,1480698.5978203143,2057386.643183
pw,Nigeria,Abuja,959143.8621244249,927238.6068565454,849128.2332276206,1075435.7934063612,2588985.010097
pw,Nigeria,Surulere,587680.0822054491,588498.1468936332,243359.08570703518,975929.5597101122,1118969.468593
pw,Nigeria,AdoOdo/Ota,459171.70898031944,460059.74237270217,351280.11450951174,587675.9554143725,1013450.181367
pw,Nigeria,Oshodi/Isolo,457269.6499178718,469147.40788866143,302164.014372113,641308.3206469798,967778.714343
pw,Nigeria,Ningi,457154.55779547716,460317.31380789686,404122.35928518296,513531.32443142735,578502.758115
pw,Nigeria,Toro,418519.0378861135,425625.83208360506,376616.0640875304,462798.57087378943,521560.588248
pw,Nigeria,Nasarawa,405265.22231587913,386771.98538760445,199180.10716371657,720468.077511635,1007592.19559
pw,Nigeria,Bauchi,398966.33669922693,399092.8132898622,332963.70705718576,471791.3461413458,736838.001627
pw,Nigeria,Kosofe,398342.7241416233,389904.2640388559,243886.75505232648,551816.5523939669,900184.322142
pw,Nigeria,Akko,397016.31362968165,397409.2652940739,223684.62719720622,666851.3250836942,730893.777093
pw,Nigeria,Mushin,387338.13009129313,382636.90762485244,289263.3809748731,487723.2515854163,870391.628973
pw,Nigeria,Ifako/Ijaye,381086.85592310294,374707.19119189377,323509.3843639684,437178.83033033554,593164.159538
pw,Nigeria,Ojo,380205.7327185395,373560.991214402,247114.0181996353,553246.9886614676,849642.913908
pw,Nigeria,Igabi,374849.79576735955,370330.5975013784,311258.1092882382,441855.86587343656,688524.800438
pw,Nigeria,Bassa,369194.42917441454,373616.3618079047,321348.80009440717,422215.3446992679,478226.546185
pw,Nigeria,Ikeja,361822.7697297401,349857.85620707413,241839.19866865326,492922.8734830045,689020.8477129999
pw,Nigeria,Lere,361136.0407797282,367581.2266317716,314760.4025006422,410965.15435243683,478186.176756
