task,method,bin,lo,hi,n,mean_pred,obs_freq
pw,none,0,0.0,0.06666666666666667,2385,0.02305195085810934,0.03689727463312369
pw,none,1,0.06666666666666667,0.13333333333333333,1426,0.09966438634093815,0.1093969144460028
pw,none,2,0.13333333333333333,0.2,1146,0.1640745671319712,0.18150087260034903
pw,none,3,0.2,0.26666666666666666,844,0.23148879082211385,0.2037914691943128
pw,none,4,0.26666666666666666,0.3333333333333333,684,0.29865776547040157,0.24853801169590642
pw,none,5,0.3333333333333333,0.4,630,0.36676381935202884,0.33174603174603173
pw,none,6,0.4,0.4666666666666667,553,0.4333076002261522,0.4014466546112116
pw,none,7,0.4666666666666667,0.5333333333333333,621,0.5008595686123951,0.5249597423510467
pw,none,8,0.5333333333333333,0.6,639,0.5675711648564943,0.5790297339593115
pw,none,9,0.6,0.6666666666666666,619,0.6339384731452954,0.6042003231017771
pw,none,10,0.6666666666666666,0.7333333333333333,620,0.7002169708090443,0.7225806451612903
pw,none,11,0.7333333333333333,0.8,673,0.7669377195002597,0.6998514115898959
pw,none,12,0.8,0.8666666666666667,876,0.834508185109047,0.7968036529680366
pw,none,13,0.8666666666666667,0.9333333333333333,1379,0.9027048869354298,0.8716461203770849
pw,none,14,0.9333333333333333,1.0,5424,0.9832518224475306,0.9664454277286135
pw,temperature,0,0.0,0.06666666666666667,1633,0.024578670393145367,0.01653398652786283
pw,temperature,1,0.06666666666666667,0.13333333333333333,1147,0.10135788188809665,0.08805579773321709
pw,temperature,2,0.13333333333333333,0.2,1299,0.16714114155932647,0.11855273287143957
pw,temperature,3,0.2,0.26666666666666666,1112,0.2318295201407626,0.19424460431654678
pw,temperature,4,0.26666666666666666,0.3333333333333333,903,0.29926997442764314,0.2159468438538206
pw,temperature,5,0.3333333333333333,0.4,774,0.36668053873937395,0.2997416020671835
pw,temperature,6,0.4,0.4666666666666667,715,0.4319944234136107,0.35104895104895106
pw,temperature,7,0.4666666666666667,0.5333333333333333,775,0.49990841489278315,0.5393548387096774
pw,temperature,8,0.5333333333333333,0.6,808,0.5659362846007534,0.5804455445544554
pw,temperature,9,0.6,0.6666666666666666,756,0.633343822165403,0.656084656084656
pw,temperature,10,0.6666666666666666,0.7333333333333333,749,0.7000076269374077,0.7142857142857143
pw,temperature,11,0.7333333333333333,0.8,843,0.7671851255654221,0.7698695136417556
pw,temperature,12,0.8,0.8666666666666667,1145,0.8348817141542144,0.8541484716157205
pw,temperature,13,0.8666666666666667,0.9333333333333333,1594,0.9029363342231819,0.9416562107904642
pw,temperature,14,0.9333333333333333,1.0,4266,0.9814218407446446,0.9690576652601969
pw,platt,0,0.0,0.06666666666666667,1676,0.024380899624487813,0.016109785202863963
pw,platt,1,0.06666666666666667,0.13333333333333333,1226,0.10108677069248427,0.09543230016313213
pw,platt,2,0.13333333333333333,0.2,1336,0.16701604656134694,0.12125748502994012
pw,platt,3,0.2,0.26666666666666666,1101,0.23185026926550623,0.19618528610354224
pw,platt,4,0.26666666666666666,0.3333333333333333,893,0.29930023302877434,0.23068309070548712
pw,platt,5,0.3333333333333333,0.4,773,0.3667489871835367,0.3078913324708926
pw,platt,6,0.4,0.4666666666666667,730,0.43321377503975667,0.3917808219178082
pw,platt,7,0.4666666666666667,0.5333333333333333,775,0.5006534471121121,0.5651612903225807
pw,platt,8,0.5333333333333333,0.6,787,0.5657754739077059,0.5717916137229987
pw,platt,9,0.6,0.6666666666666666,742,0.6330787671793712,0.6792452830188679
pw,platt,10,0.6666666666666666,0.7333333333333333,732,0.6998191042814559,0.7103825136612022
pw,platt,11,0.7333333333333333,0.8,845,0.7666987826970891,0.7846153846153846
pw,platt,12,0.8,0.8666666666666667,1126,0.8339244561063677,0.8561278863232682
pw,platt,13,0.8666666666666667,0.9333333333333333,1582,0.9022021168663211,0.9469026548672567
pw,platt,14,0.9333333333333333,1.0,4195,0.9814524367504058,0.9694874851013111
pw,isotonic,0,0.0,0.06666666666666667,1990,0.021719551685647258,0.026633165829145728
pw,isotonic,1,0.06666666666666667,0.13333333333333333,945,0.10744408904990563,0.10158730158730159
pw,isotonic,2,0.13333333333333333,0.2,1755,0.14568309451139216,0.1396011396011396
pw,isotonic,3,0.2,0.26666666666666666,1512,0.2393629944006144,0.21494708994708994
pw,isotonic,4,0.26666666666666666,0.3333333333333333,507,0.3035736854046136,0.2938856015779093
pw,isotonic,5,0.3333333333333333,0.4,419,0.39413229750817586,0.3412887828162291
pw,isotonic,6,0.4,0.4666666666666667,778,0.41502147549583773,0.42287917737789205
pw,isotonic,7,0.4666666666666667,0.5333333333333333,344,0.4926886784540523,0.5436046511627907
pw,isotonic,8,0.5333333333333333,0.6,770,0.571886986069772,0.574025974025974
pw,isotonic,9,0.6,0.6666666666666666,253,0.6568735066546262,0.616600790513834
pw,isotonic,10,0.6666666666666666,0.7333333333333333,1447,0.7323767935121646,0.6917760884588804
pw,isotonic,11,0.7333333333333333,0.8,827,0.7520063481212561,0.7823458282950423
pw,isotonic,12,0.8,0.8666666666666667,397,0.8472218106386132,0.818639798488665
pw,isotonic,13,0.8666666666666667,0.9333333333333333,2158,0.9151487475811171,0.9161260426320668
pw,isotonic,14,0.9333333333333333,1.0,4417,0.9667516547832141,0.9692098709531356
pw,logistic,0,0.0,0.06666666666666667,26,0.06037198451276009,0.0
pw,logistic,1,0.06666666666666667,0.13333333333333333,619,0.10914929856294962,0.03877221324717286
pw,logistic,2,0.13333333333333333,0.2,1290,0.16799204721469288,0.10852713178294573
pw,logistic,3,0.2,0.26666666666666666,1485,0.23450236838273328,0.1542087542087542
pw,logistic,4,0.26666666666666666,0.3333333333333333,1385,0.29824926254981693,0.20577617328519857
pw,logistic,5,0.3333333333333333,0.4,1227,0.3654911423127828,0.2404237978810106
pw,logistic,6,0.4,0.4666666666666667,1104,0.43266461630338343,0.36684782608695654
pw,logistic,7,0.4666666666666667,0.5333333333333333,1113,0.501035271441733,0.49056603773584906
pw,logistic,8,0.5333333333333333,0.6,1179,0.5674240711485561,0.6022052586938084
pw,logistic,9,0.6,0.6666666666666666,1273,0.6341501087629224,0.6842105263157895
pw,logistic,10,0.6666666666666666,0.7333333333333333,1491,0.6997402872438002,0.7344064386317908
pw,logistic,11,0.7333333333333333,0.8,1656,0.7678471691006623,0.8200483091787439
pw,logistic,12,0.8,0.8666666666666667,2233,0.8351809003937154,0.9171518137035378
pw,logistic,13,0.8666666666666667,0.9333333333333333,2007,0.8975570145149877,0.9566517189835575
pw,logistic,14,0.9333333333333333,1.0,431,0.9451404276137563,0.9976798143851509
sw,none,0,0.0,0.06666666666666667,7391,0.014954967282246868,0.021783249898525234
sw,none,1,0.06666666666666667,0.13333333333333333,1568,0.09657928485385313,0.11926020408163265
sw,none,2,0.13333333333333333,0.2,1139,0.16543785225570568,0.16417910447761194
sw,none,3,0.2,0.26666666666666666,834,0.23239501980211524,0.2541966426858513
sw,none,4,0.26666666666666666,0.3333333333333333,675,0.30039924462636314,0.30074074074074075
sw,none,5,0.3333333333333333,0.4,613,0.36574219558600696,0.2838499184339315
sw,none,6,0.4,0.4666666666666667,549,0.43239135983211746,0.3570127504553734
sw,none,7,0.4666666666666667,0.5333333333333333,459,0.4996136191883378,0.4074074074074074
sw,none,8,0.5333333333333333,0.6,383,0.5644315308441381,0.4934725848563969
sw,none,9,0.6,0.6666666666666666,404,0.6332675827906864,0.650990099009901
sw,none,10,0.6666666666666666,0.7333333333333333,394,0.6994856639864481,0.6878172588832487
sw,none,11,0.7333333333333333,0.8,458,0.7683399297524748,0.7816593886462883
sw,none,12,0.8,0.8666666666666667,490,0.8352063723972866,0.826530612244898
sw,none,13,0.8666666666666667,0.9333333333333333,894,0.903141908197595,0.87248322147651
sw,none,14,0.9333333333333333,1.0,2268,0.9797038416751057,0.9713403880070547
sw,temperature,0,0.0,0.06666666666666667,6597,0.017585691117963733,0.01697741397604972
sw,temperature,1,0.06666666666666667,0.13333333333333333,1704,0.09717576138880811,0.09330985915492958
sw,temperature,2,0.13333333333333333,0.2,1224,0.16543541322285923,0.12581699346405228
sw,temperature,3,0.2,0.26666666666666666,1035,0.23135583540448618,0.21739130434782608
sw,temperature,4,0.26666666666666666,0.3333333333333333,788,0.29881324194331943,0.27284263959390864
sw,temperature,5,0.3333333333333333,0.4,725,0.36590325404826596,0.3020689655172414
sw,temperature,6,0.4,0.4666666666666667,656,0.43254924683026924,0.3353658536585366
sw,temperature,7,0.4666666666666667,0.5333333333333333,530,0.4991657898475864,0.4
sw,temperature,8,0.5333333333333333,0.6,446,0.5648646861369784,0.5201793721973094
sw,temperature,9,0.6,0.6666666666666666,469,0.6331352663172919,0.6780383795309168
sw,temperature,10,0.6666666666666666,0.7333333333333333,435,0.7004963253591802,0.7241379310344828
sw,temperature,11,0.7333333333333333,0.8,487,0.7658139937079554,0.7967145790554415
sw,temperature,12,0.8,0.8666666666666667,635,0.8362315845050041,0.8393700787401575
sw,temperature,13,0.8666666666666667,0.9333333333333333,961,0.9019291475131558,0.918834547346514
sw,temperature,14,0.9333333333333333,1.0,1827,0.979989264844465,0.9802955665024631
sw,platt,0,0.0,0.06666666666666667,6919,0.01791765002030899,0.01922243098713687
sw,platt,1,0.06666666666666667,0.13333333333333333,1828,0.09775715747786708,0.10175054704595186
sw,platt,2,0.13333333333333333,0.2,1348,0.16618833039349565,0.15949554896142434
sw,platt,3,0.2,0.26666666666666666,993,0.23215166718526573,0.2537764350453172
sw,platt,4,0.26666666666666666,0.3333333333333333,841,0.3003720826518173,0.2984542211652794
sw,platt,5,0.3333333333333333,0.4,710,0.3660902886235846,0.33098591549295775
sw,platt,6,0.4,0.4666666666666667,582,0.43225181070064517,0.39862542955326463
sw,platt,7,0.4666666666666667,0.5333333333333333,458,0.4982143199686658,0.49344978165938863
sw,platt,8,0.5333333333333333,0.6,458,0.5663684493566562,0.6812227074235808
sw,platt,9,0.6,0.6666666666666666,423,0.6338575664426442,0.706855791962175
sw,platt,10,0.6666666666666666,0.7333333333333333,437,0.6999345490362185,0.8032036613272311
sw,platt,11,0.7333333333333333,0.8,483,0.7688783930443372,0.8343685300207039
sw,platt,12,0.8,0.8666666666666667,691,0.8354388946325421,0.8712011577424024
sw,platt,13,0.8666666666666667,0.9333333333333333,807,0.8998902267937772,0.9491945477075588
sw,platt,14,0.9333333333333333,1.0,1541,0.9812549314061686,0.981829980532122
sw,isotonic,0,0.0,0.06666666666666667,7741,0.023234885831515208,0.024286267924040823
sw,isotonic,1,0.06666666666666667,0.13333333333333333,1065,0.09168287034400782,0.1352112676056338
sw,isotonic,2,0.13333333333333333,0.2,1553,0.17520521475039513,0.16934964584674822
sw,isotonic,3,0.2,0.26666666666666666,1606,0.23632820017174497,0.2833125778331258
sw,isotonic,4,0.26666666666666666,0.3333333333333333,1050,0.3047654177581646,0.35714285714285715
sw,isotonic,6,0.4,0.4666666666666667,12,0.4615405518394649,0.5833333333333334
sw,isotonic,7,0.4666666666666667,0.5333333333333333,541,0.49894055971373136,0.4399260628465804
sw,isotonic,8,0.5333333333333333,0.6,260,0.5860612016022797,0.6269230769230769
sw,isotonic,9,0.6,0.6666666666666666,132,0.6262816488805188,0.7121212121212122
sw,isotonic,10,0.6666666666666666,0.7333333333333333,619,0.6937456316655801,0.691437802907916
sw,isotonic,11,0.7333333333333333,0.8,193,0.7835672835353329,0.8082901554404145
sw,isotonic,12,0.8,0.8666666666666667,579,0.8157591503138679,0.8221070811744386
sw,isotonic,13,0.8666666666666667,0.9333333333333333,1423,0.8877739031170673,0.8966971187631764
sw,isotonic,14,0.9333333333333333,1.0,1745,0.9676717444159393,0.9816618911174785
sw,logistic,0,0.0,0.06666666666666667,1018,0.05359829440420175,0.0068762278978389
sw,logistic,1,0.06666666666666667,0.13333333333333333,4138,0.09951621645664524,0.03214113098115031
sw,logistic,2,0.13333333333333333,0.2,2922,0.1636944918763874,0.09582477754962354
sw,logistic,3,0.2,0.26666666666666666,1882,0.23115060411148192,0.20297555791710944
sw,logistic,4,0.26666666666666666,0.3333333333333333,1316,0.29845986515283585,0.26595744680851063
sw,logistic,5,0.3333333333333333,0.4,1054,0.3656167190599713,0.35958254269449713
sw,logistic,6,0.4,0.4666666666666667,879,0.43339851335860763,0.4653014789533561
sw,logistic,7,0.4666666666666667,0.5333333333333333,875,0.4995462099484035,0.5405714285714286
sw,logistic,8,0.5333333333333333,0.6,936,0.5671471871244602,0.6057692307692307
sw,logistic,9,0.6,0.6666666666666666,897,0.6338248395733743,0.7001114827201784
sw,logistic,10,0.6666666666666666,0.7333333333333333,694,0.6970152513094525,0.8487031700288185
sw,logistic,11,0.7333333333333333,0.8,600,0.7669515663385391,0.9233333333333333
sw,logistic,12,0.8,0.8666666666666667,779,0.8334005435256812,0.9486521181001284
sw,logistic,13,0.8666666666666667,0.9333333333333333,499,0.8957757176999339,0.9138276553106213
sw,logistic,14,0.9333333333333333,1.0,30,0.9420441508293151,1.0
