task,method,auroc,brier,ece,mean_pred,base_rate,frac_above_0.9,frac_below_0.1
pw,none,0.9153870820616269,0.11514516174114346,0.02326998188037954,0.5713531461986702,0.5592094605540257,0.3346832982342459,0.1682596252497435
pw,temperature,0.915386650293056,0.11573786477813151,0.02846816868443825,0.570805910672932,0.5592094605540257,0.27879475133646525,0.11750094497543064
pw,platt,0.915386650293056,0.11559594069644459,0.027862171259017892,0.5646543206078706,0.5592094605540257,0.27263891138830393,0.12187483125438739
pw,isotonic,0.9148049338206428,0.11534608543296472,0.012612727637712373,0.5639263846176685,0.5592094605540257,0.3465089907662401,0.12344079053944597
pw,logistic,0.8701342994255656,0.14855148043074196,0.06339870119677891,0.5613570306597981,0.5592094605540257,0.07133214536422053,0.011069712187483125
sw,none,0.9324126277359565,0.0935463697645325,0.01811366201573615,0.32809748508887815,0.32269560991414226,0.14984610400129597,0.44748636535450076
sw,temperature,0.932413801742888,0.09378201729131459,0.018452505284949055,0.3341076821477911,0.32269560991414226,0.12662670770559967,0.4074194070954155
sw,platt,0.932413801742888,0.09380471772406589,0.017319563562360397,0.3115655391080624,0.32269560991414226,0.10432528754252389,0.42880285112587074
sw,isotonic,0.9320702446235553,0.09362655757445602,0.01600371145672656,0.311276280693334,0.32269560991414226,0.10022139424374966,0.45585614774015876
sw,logistic,0.8901256518273257,0.1256811488472239,0.05864313859083178,0.3317489035315323,0.32269560991414226,0.012527674280468708,0.1699335817268751
