model,scheme,task,fold,k,n_train,n_test,auroc
dinov2,original,pw,0,5,149632,18519,0.8717667099286945
dinov2,original,pw,0,10,149632,18519,0.8907836431586305
dinov2,original,pw,0,20,149632,18519,0.9048088881109957
dinov2,original,pw,0,50,149632,18519,0.9109532506069482
dinov2,original,pw,0,100,149632,18519,0.9138366129527637
dinov2,original,pw,0,200,149632,18519,0.9153870820616269
dinov2,original,sw,0,5,149632,18519,0.8836313323132281
dinov2,original,sw,0,10,149632,18519,0.9027024478898346
dinov2,original,sw,0,20,149632,18519,0.915224405821751
dinov2,original,sw,0,50,149632,18519,0.9269610598443631
dinov2,original,sw,0,100,149632,18519,0.9302374663820447
dinov2,original,sw,0,200,149632,18519,0.9324126277359565
dino,original,pw,0,5,149632,18519,0.8643285617819657
dino,original,pw,0,10,149632,18519,0.8830584812903677
dino,original,pw,0,20,149632,18519,0.8991574929449015
dino,original,pw,0,50,149632,18519,0.90914583188129
dino,original,pw,0,100,149632,18519,0.9128836642289367
dino,original,pw,0,200,149632,18519,0.9154454063065276
dino,original,sw,0,5,149632,18519,0.8752037635780571
dino,original,sw,0,10,149632,18519,0.8925837822042109
dino,original,sw,0,20,149632,18519,0.9113937879664503
dino,original,sw,0,50,149632,18519,0.9261638757853705
dino,original,sw,0,100,149632,18519,0.9310416211071932
dino,original,sw,0,200,149632,18519,0.933337091489613
galileo,original,pw,0,5,149632,18519,0.7591363649117747
galileo,original,pw,0,10,149632,18519,0.7645645534706219
galileo,original,pw,0,20,149632,18519,0.759774122578837
galileo,original,pw,0,50,149632,18519,0.748549967358296
galileo,original,pw,0,100,149632,18519,0.7397929318372989
galileo,original,pw,0,200,149632,18519,0.7307880789005132
galileo,original,sw,0,5,149632,18519,0.7907488533954575
galileo,original,sw,0,10,149632,18519,0.799229932832929
galileo,original,sw,0,20,149632,18519,0.7948953324792966
galileo,original,sw,0,50,149632,18519,0.7830147225271972
galileo,original,sw,0,100,149632,18519,0.7732200760841874
galileo,original,sw,0,200,149632,18519,0.7647894389218092
