model,scheme,task,fold,k,n_train,n_test,auroc
dinov2,country,pw,Angola,5,183309,3392,0.6717508643455037
dinov2,country,pw,Angola,10,183309,3392,0.6833048441227496
dinov2,country,pw,Angola,20,183309,3392,0.6959268204087214
dinov2,country,pw,Angola,50,183309,3392,0.7120458522779605
dinov2,country,pw,Angola,100,183309,3392,0.7203266629903822
dinov2,country,pw,Angola,200,183309,3392,0.7262715179266712
dinov2,country,pw,Benin,5,184027,2674,0.7233606308765544
dinov2,country,pw,Benin,10,184027,2674,0.74120138076462
dinov2,country,pw,Benin,20,184027,2674,0.7620945448242991
dinov2,country,pw,Benin,50,184027,2674,0.7812946834784869
dinov2,country,pw,Benin,100,184027,2674,0.794282825656802
dinov2,country,pw,Benin,200,184027,2674,0.804476797088262
dinov2,country,pw,Botswana,5,181813,4888,0.8130743829049365
dinov2,country,pw,Botswana,10,181813,4888,0.8340261309159527
dinov2,country,pw,Botswana,20,181813,4888,0.8520195838433293
dinov2,country,pw,Botswana,50,181813,4888,0.8681773702060384
dinov2,country,pw,Botswana,100,181813,4888,0.8733962222052223
dinov2,country,pw,Botswana,200,181813,4888,0.8752135607915137
dinov2,country,pw,Burkina Faso,5,181915,4786,0.8157459171442483
dinov2,country,pw,Burkina Faso,10,181915,4786,0.8264003016880799
dinov2,country,pw,Burkina Faso,20,181915,4786,0.8374911038693487
dinov2,country,pw,Burkina Faso,50,181915,4786,0.845235517255372
dinov2,country,pw,Burkina Faso,100,181915,4786,0.8458864369904233
dinov2,country,pw,Burkina Faso,200,181915,4786,0.845541126655929
dinov2,country,pw,Cameroon,5,184323,2378,0.6468086886521103
dinov2,country,pw,Cameroon,10,184323,2378,0.663435707954196
dinov2,country,pw,Cameroon,20,184323,2378,0.6759340496994035
dinov2,country,pw,Cameroon,50,184323,2378,0.6903099881208656
dinov2,country,pw,Cameroon,100,184323,2378,0.6981041625210297
dinov2,country,pw,Cameroon,200,184323,2378,0.7050986058599709
dinov2,country,pw,Congo,5,186301,400,0.8260517591426588
dinov2,country,pw,Congo,10,186301,400,0.8461746035825346
dinov2,country,pw,Congo,20,186301,400,0.8587031944694303
dinov2,country,pw,Congo,50,186301,400,0.8738146025545476
dinov2,country,pw,Congo,100,186301,400,0.8867029888720412
dinov2,country,pw,Congo,200,186301,400,0.8959163218627124
