country,n,pw,sw
Angola,3392.0,72.62715179266712,75.24992812856972
Benin,2674.0,80.4476797088262,77.19655047799931
Botswana,4888.0,87.52135607915137,80.55204031866916
Burkina Faso,4786.0,84.5541126655929,89.52858089247921
Cameroon,2378.0,70.50986058599709,72.38049059547289
Congo,400.0,89.59163218627124,67.08379339958287
Côte d'Ivoire,2160.0,78.470507066656,68.5662612374405
Ethiopia,5667.0,77.01969307822442,82.63556029453821
Gabon,1906.0,59.94999375897147,53.531831023730625
Gambia,4103.0,71.85255148116417,75.08382044174442
Ghana,12747.0,82.671476515603,70.34831477765857
Guinea,3469.0,84.79907227932247,76.44247709654685
Kenya,7408.0,83.47129751299714,90.27650203213534
Lesotho,5110.0,66.83739448253789,69.58202442491014
Liberia,1702.0,73.28230321430561,62.6712075360724
Madagascar,8977.0,89.11492634258751,74.20330397522245
Malawi,4138.0,86.84766650942441,89.52762527262908
Mali,4987.0,86.6941661372041,88.17459723968388
Mauritania,1632.0,75.58932977389475,82.23237144569126
Morocco,5236.0,74.02532764518237,87.78676659928183
Mozambique,5266.0,73.45140177018415,71.64257455873403
Namibia,5871.0,71.20367465933518,85.22144146130591
Niger,5122.0,74.12675111690865,85.79956910662897
Nigeria,11559.0,72.56662429978152,74.97521747601886
Senegal,10320.0,69.4560938108683,76.86721008399685
Sierra Leone,2698.0,82.03620362036203,53.253540261883536
South Africa,14003.0,65.56115544490214,73.7399287835541
Sudan,5293.0,73.20471555177113,71.41548471746265
Tanzania,6692.0,82.33307258480639,85.02608017844821
Togo,3219.0,81.08138909366221,75.27199743095697
Tunisia,5198.0,79.40724912947135,83.19433625446283
Uganda,5058.0,83.52466650598251,93.62971831557427
Zambia,9594.0,86.15858165233536,89.07901140389647
Zimbabwe,4615.0,94.06990784052851,95.98462116052107
eSwatini,4433.0,74.23525903838986,85.97362128777478
