service,metric,cluster_id,cluster_label,top_lga,lga_count,cluster_score,cluster_population,member_lgas
piped_water,burden,27,Abuja hotspot area (21 LGAs),Abuja,21,7578307.188768487,12274178.100031001,Abuja; Ningi; Toro; Bauchi; Akko; Lere; ZangonKataf; Ganjuwa; Alkaleri; BirninKudu; Mangu; Bwari; Gwagwalada; Kachia; Sumaila; Jema'a; Yamaltu/Deba; JosNorth; Gwaram; Tafawa-Balewa; Kagarko
piped_water,burden,0,Alimosho hotspot area (13 LGAs),Alimosho,13,5636543.05319982,11497019.030477002,Alimosho; AdoOdo/Ota; Oshodi/Isolo; Kosofe; Mushin; Ifako/Ijaye; Ojo; Ikeja; Ifo; Ajeromi/Ifelodun; Ikorodu; AmuwoOdofin; IjebuNorth
piped_water,burden,36,Igabi hotspot area (11 LGAs),Igabi,11,3495521.0343462983,5329827.945488,Igabi; Giwa; Chikun; Zaria; Kubau; Soba; Bichi; Kumbotso; Kiru; Rogo; Kano
piped_water,burden,46,Maru hotspot area (9 LGAs),Maru,9,2807276.1343646017,3713710.5423369994,Maru; Zurmi; Gusau; DankoWasagu; BirninGwari; KauraNamoda; Kankara; Bungudu; Tsafe
piped_water,burden,53,Kwande hotspot area (4 LGAs),Kwande,4,1149637.0344089465,1562369.0356369999,Kwande; Gboko; VandeIkya; Katsina-Ala
piped_water,burden,33,PortHarcourt hotspot area (3 LGAs),PortHarcourt,3,907035.4679354371,1718152.4336579998,PortHarcourt; Yenagoa; Abua/Odual
piped_water,burden,38,Gamawa hotspot area (3 LGAs),Gamawa,3,863171.6914302876,1168387.4041260001,Gamawa; Jakusko; KafinHausa
piped_water,severity,19,Safana hotspot area (27 LGAs),Safana,27,22.542261934773997,6605746.672861001,Safana; Charanchi; Kurfi; Matazu; Ingawa; Mani; Danmusa; BirninGwari; Sakaba; Maru; Dutsi; Faskari; Kusada; Kankara; Batsari; Sabuwa; Bindawa; Gwiwa; Tsanyawa; DankoWasagu; Shanono; Giwa; Fakai; Musawa; Mashi; Rijau; Kankia
piped_water,severity,7,Kwande hotspot area (13 LGAs),Kwande,13,10.567170704562793,3277208.1821349994,Kwande; Tarka; Katsina-Ala; Ado; Konshisha; Logo; VandeIkya; Ukum; Ohimini; Yala; Bukuru; Bekwarra; Awe
piped_water,severity,34,Muya hotspot area (10 LGAs),Muya,10,8.410475594674582,2631660.062664,Muya; Kajuru; Mariga; Paikoro; Kauru; Rafi; Shiroro; Kagarko; Kachia; Gurara
