region_name,tiles,population,area_km2,population_density_km2,density_rank,pw_access_prob,pw_no_access_prob,pw_people_without_access,sw_access_prob,sw_no_access_prob,sw_people_without_access,either_access_prob,hotspot_score_threshold_pw,hotspot_score_threshold_sw,no_access_prob_threshold_pw,no_access_prob_threshold_sw,is_severity_hotspot_pw,is_severity_hotspot_sw,is_hotspot_pw,is_hotspot_sw,hotspot_score_pw,hotspot_score_sw
Alimosho,24,2057386.6431830002,147.07315945417935,13988.86547904738,0.9804432855280313,0.4384452509195808,0.5615547490804191,1155335.2401740355,0.6710626308429651,0.32893736915703486,676751.3497474393,0.6952884141349176,268975.3615180525,320245.70978838584,0.8050769473029628,0.9523849671406008,False,False,True,True,1155335.2401740355,676751.3497474393
Abuja,234,2588985.010097,1578.9164031057298,1639.7226635966692,0.8722294654498044,0.6418524621655476,0.3581475378344524,927238.6068565454,0.4389827781143647,0.5610172218856353,1452465.1778681723,0.6423874701640816,268975.3615180525,320245.70978838584,0.8050769473029628,0.9523849671406008,False,False,True,True,927238.6068565454,1452465.1778681723
Surulere,126,1118969.468593,826.3002040687799,1354.1924146733706,0.8409387222946545,0.4740713098869312,0.5259286901130689,588498.1468936332,0.6467887439316528,0.35321125606834725,395232.6115038646,0.6660391893435865,268975.3615180525,320245.70978838584,0.8050769473029628,0.9523849671406008,False,False,True,True,588498.1468936332,395232.6115038646
Oshodi/Isolo,7,967778.7143430001,38.36903645197862,25222.908986892046,0.9973924380704041,0.5152327686736182,0.4847672313263818,469147.4078886615,0.6310338247537405,0.3689661752462595,357077.6107158791,0.676355211355389,268975.3615180525,320245.70978838584,0.8050769473029628,0.9523849671406008,False,False,True,True,469147.4078886615,357077.6107158791
Ningi,626,578502.7581150001,5175.815131657672,111.77036725608889,0.17340286831812254,0.20429538606211653,0.7957046139378835,460317.3138078969,0.1732719002372521,0.8267280997627479,478264.48592392256,0.3017383141957275,268975.3615180525,320245.70978838584,0.8050769473029628,0.9523849671406008,False,False,True,True,460317.3138078969,478264.48592392256
AdoOdo/Ota,144,1013450.1813670001,900.1633426752846,1125.8514242037752,0.8148631029986962,0.5460460209774228,0.45395397902257717,460059.74237270217,0.5554488335886518,0.4445511664113482,450530.46022649226,0.6292919163159351,268975.3615180525,320245.70978838584,0.8050769473029628,0.9523849671406008,False,False,True,True,460059.74237270217,450530.46022649226
Toro,755,521560.58824799996,7080.551919456146,73.6610075289245,0.08604954367666232,0.18393789393990476,0.8160621060600952,425625.832083605,0.07279952605469797,0.927200473945302,483591.2246147361,0.19229258835395674,268975.3615180525,320245.70978838584,0.8050769473029628,0.9523849671406008,True,False,True,True,425625.832083605,483591.2246147361
Bauchi,581,736838.001627,3960.876085703313,186.0290465249845,0.3116036505867014,0.45837102265541163,0.5416289773445884,399092.8132898622,0.24887110197528411,0.7511288980247159,553460.3161848224,0.46097349931603554,268975.3615180525,320245.70978838584,0.8050769473029628,0.9523849671406008,False,False,True,True,399092.8132898622,553460.3161848224
Akko,351,730893.7770930001,2851.9472120260934,256.2788588831401,0.41851368970013036,0.4562694638409721,0.5437305361590279,397409.26529407396,0.2099833098921576,0.7900166901078424,577418.2825994311,0.45831442419891566,268975.3615180525,320245.70978838584,0.8050769473029628,0.9523849671406008,False,False,True,True,397409.26529407396,577418.2825994311
Kosofe,11,900184.3221420001,73.89739452784792,12181.543448095039,0.9778357235984355,0.5668617477017664,0.43313825229823355,389904.26403885597,0.7322181988393126,0.2677818011606874,241052.97915979722,0.763032611983008,268975.3615180525,320245.70978838584,0.8050769473029628,0.9523849671406008,False,False,True,False,389904.26403885597,241052.97915979722
