block_lat,block_lon,fold,lat_min,lat_max,lon_min,lon_max
-69,36,0,-34.5,-34.0,18.0,18.5
-69,40,0,-34.5,-34.0,20.0,20.5
-68,39,0,-34.0,-33.5,19.5,20.0
-68,40,0,-34.0,-33.5,20.0,20.5
-68,44,0,-34.0,-33.5,22.0,22.5
-68,46,0,-34.0,-33.5,23.0,23.5
-68,48,0,-34.0,-33.5,24.0,24.5
-68,51,0,-34.0,-33.5,25.5,26.0
-67,37,0,-33.5,-33.0,18.5,19.0
-67,55,0,-33.5,-33.0,27.5,28.0
-66,56,0,-33.0,-32.5,28.0,28.5
-65,37,0,-32.5,-32.0,18.5,19.0
-65,57,0,-32.5,-32.0,28.5,29.0
-64,48,0,-32.0,-31.5,24.0,24.5
-63,46,0,-31.5,-31.0,23.0,23.5
-63,54,0,-31.5,-31.0,27.0,27.5
-62,45,0,-31.0,-30.5,22.5,23.0
-62,61,0,-31.0,-30.5,30.5,31.0
-61,60,0,-30.5,-30.0,30.0,30.5
-61,61,0,-30.5,-30.0,30.5,31.0
-60,57,0,-30.0,-29.5,28.5,29.0
-60,58,0,-30.0,-29.5,29.0,29.5
-60,60,0,-30.0,-29.5,30.0,30.5
-60,61,0,-30.0,-29.5,30.5,31.0
-59,49,0,-29.5,-29.0,24.5,25.0
-59,52,0,-29.5,-29.0,26.0,26.5
-59,55,0,-29.5,-29.0,27.5,28.0
-59,59,0,-29.5,-29.0,29.5,30.0
-59,62,0,-29.5,-29.0,31.0,31.5
-58,59,0,-29.0,-28.5,29.5,30.0
-57,43,0,-28.5,-28.0,21.5,22.0
-57,55,0,-28.5,-28.0,27.5,28.0
-57,57,0,-28.5,-28.0,28.5,29.0
-56,54,0,-28.0,-27.5,27.0,27.5
-55,47,0,-27.5,-27.0,23.5,24.0
-55,54,0,-27.5,-27.0,27.0,27.5
-55,63,0,-27.5,-27.0,31.5,32.0
-54,30,0,-27.0,-26.5,15.0,15.5
-54,36,0,-27.0,-26.5,18.0,18.5
-54,43,0,-27.0,-26.5,21.5,22.0
-54,49,0,-27.0,-26.5,24.5,25.0
-54,53,0,-27.0,-26.5,26.5,27.0
-53,52,0,-26.5,-26.0,26.0,26.5
-53,56,0,-26.5,-26.0,28.0,28.5
-53,61,0,-26.5,-26.0,30.5,31.0
-52,55,0,-26.0,-25.5,27.5,28.0
-52,57,0,-26.0,-25.5,28.5,29.0
-51,39,0,-25.5,-25.0,19.5,20.0
-51,51,0,-25.5,-25.0,25.5,26.0
-51,54,0,-25.5,-25.0,27.0,27.5
-51,56,0,-25.5,-25.0,28.0,28.5
-51,61,0,-25.5,-25.0,30.5,31.0
-51,67,0,-25.5,-25.0,33.5,34.0
-51,91,0,-25.5,-25.0,45.5,46.0
-51,93,0,-25.5,-25.0,46.5,47.0
-50,50,0,-25.0,-24.5,25.0,25.5
-50,56,0,-25.0,-24.5,28.0,28.5
-50,62,0,-25.0,-24.5,31.0,31.5
-50,92,0,-25.0,-24.5,46.0,46.5
-49,52,0,-24.5,-24.0,26.0,26.5
-49,61,0,-24.5,-24.0,30.5,31.0
-48,39,0,-24.0,-23.5,19.5,20.0
-48,43,0,-24.0,-23.5,21.5,22.0
-48,47,0,-24.0,-23.5,23.5,24.0
-48,59,0,-24.0,-23.5,29.5,30.0
-48,87,0,-24.0,-23.5,43.5,44.0
-47,39,0,-23.5,-23.0,19.5,20.0
-47,51,0,-23.5,-23.0,25.5,26.0
-47,57,0,-23.5,-23.0,28.5,29.0
-47,58,0,-23.5,-23.0,29.0,29.5
-47,92,0,-23.5,-23.0,46.0,46.5
-46,55,0,-23.0,-22.5,27.5,28.0
-45,29,0,-22.5,-22.0,14.5,15.0
-45,34,0,-22.5,-22.0,17.0,17.5
-45,41,0,-22.5,-22.0,20.5,21.0
-45,42,0,-22.5,-22.0,21.0,21.5
-45,56,0,-22.5,-22.0,28.0,28.5
-45,59,0,-22.5,-22.0,29.5,30.0
-44,54,0,-22.0,-21.5,27.0,27.5
-44,57,0,-22.0,-21.5,28.5,29.0
-44,62,0,-22.0,-21.5,31.0,31.5
-43,34,0,-21.5,-21.0,17.0,17.5
-43,38,0,-21.5,-21.0,19.0,19.5
-43,39,0,-21.5,-21.0,19.5,20.0
-43,50,0,-21.5,-21.0,25.0,25.5
-43,58,0,-21.5,-21.0,29.0,29.5
