model,scheme,task,fold,k,n_train,n_test,auroc
dinov2,original,pw,0,5,149632,18519,0.8721073398433151
dinov2,original,pw,0,10,149632,18519,0.8910759149933092
dinov2,original,pw,0,20,149632,18519,0.9045848179666071
dinov2,original,pw,0,50,149632,18519,0.9110321755358556
dinov2,original,pw,0,100,149632,18519,0.9137979430497964
dinov2,original,pw,0,200,149632,18519,0.9153866207198662
dinov2,original,sw,0,5,149632,18519,0.8837801443622961
dinov2,original,sw,0,10,149632,18519,0.9032464400107538
dinov2,original,sw,0,20,149632,18519,0.9158768268214904
dinov2,original,sw,0,50,149632,18519,0.9270605702727999
dinov2,original,sw,0,100,149632,18519,0.9302024462889161
dinov2,original,sw,0,200,149632,18519,0.9324137683904185
dinov2,random,pw,0,5,149478,37223,0.8698730533733866
dinov2,random,pw,0,10,149478,37223,0.8891227889315059
dinov2,random,pw,0,20,149478,37223,0.9016013778169114
dinov2,random,pw,0,50,149478,37223,0.9089614891791579
dinov2,random,pw,0,100,149478,37223,0.9117780264631452
dinov2,random,pw,0,200,149478,37223,0.9130981158453413
dinov2,random,pw,1,5,149201,37500,0.8752589279459707
dinov2,random,pw,1,10,149201,37500,0.8942292364437472
dinov2,random,pw,1,20,149201,37500,0.9059223148151703
dinov2,random,pw,1,50,149201,37500,0.9142468715425518
dinov2,random,pw,1,100,149201,37500,0.917122510673485
dinov2,random,pw,1,200,149201,37500,0.918298297471026
dinov2,random,pw,2,5,149384,37317,0.868843936091246
dinov2,random,pw,2,10,149384,37317,0.8874639728579754
dinov2,random,pw,2,20,149384,37317,0.8987162746263901
dinov2,random,pw,2,50,149384,37317,0.9067930777488099
dinov2,random,pw,2,100,149384,37317,0.9094256539123826
dinov2,random,pw,2,200,149384,37317,0.9108136469014142
dinov2,random,pw,3,5,149281,37420,0.8717008504456009
dinov2,random,pw,3,10,149281,37420,0.8883867362938515
dinov2,random,pw,3,20,149281,37420,0.899923535179433
dinov2,random,pw,3,50,149281,37420,0.9082807920461048
dinov2,random,pw,3,100,149281,37420,0.911516746050721
dinov2,random,pw,3,200,149281,37420,0.9134568786648105
dinov2,random,pw,4,5,149460,37241,0.8634785100039475
dinov2,random,pw,4,10,149460,37241,0.880936605779904
dinov2,random,pw,4,20,149460,37241,0.8928016996673336
dinov2,random,pw,4,50,149460,37241,0.9019670986975719
dinov2,random,pw,4,100,149460,37241,0.9056970291454248
dinov2,random,pw,4,200,149460,37241,0.9076150939516008
dinov2,region,pw,Eastern,5,129286,57415,0.7595111073046171
dinov2,region,pw,Eastern,10,129286,57415,0.7748961325941389
dinov2,region,pw,Eastern,20,129286,57415,0.7868211478977456
dinov2,region,pw,Eastern,50,129286,57415,0.7991797354008978
dinov2,region,pw,Eastern,100,129286,57415,0.8067343365098756
dinov2,region,pw,Eastern,200,129286,57415,0.8130030662548061
